ID	QUALITY
ERR346600.3	21
ERR346600.1	21
ERR346600.9	21
ERR346600.2	22
ERR346600.10	21
ERR346600.8	21
ERR346600.7	21
ERR346600.12	24
ERR346600.5	23
ERR346600.13	24
ERR346600.14	24
ERR346600.6	24
ERR346600.18	30
ERR346600.16	21
ERR346600.29	31
ERR346600.28	31
ERR346600.35	25
ERR346600.20	30
ERR346600.17	28
ERR346600.19	25
ERR346600.26	25
ERR346600.25	27
ERR346600.21	26
ERR346600.27	21
ERR346600.30	23
ERR346600.33	27
ERR346600.34	29
ERR346600.37	32
ERR346600.24	24
ERR346600.32	35
ERR346600.36	30
ERR346600.38	33
ERR346600.46	33
ERR346600.39	33
ERR346600.45	35
ERR346600.44	33
ERR346600.48	37
ERR346600.50	35
ERR346600.49	34
ERR346600.53	30
ERR346600.47	25
ERR346600.43	36
ERR346600.54	25
ERR346600.56	34
ERR346600.42	31
ERR346600.51	27
ERR346600.62	33
ERR346600.57	21
ERR346600.52	31
ERR346600.58	32
ERR346600.72	31
ERR346600.61	35
ERR346600.59	34
ERR346600.67	28
ERR346600.66	29
ERR346600.78	37
ERR346600.71	34
ERR346600.68	36
ERR346600.75	26
ERR346600.82	29
ERR346600.76	24
ERR346600.73	25
ERR346600.83	34
ERR346600.81	33
ERR346600.86	34
ERR346600.79	33
ERR346600.65	24
ERR346600.88	35
ERR346600.80	27
ERR346600.94	22
ERR346600.91	36
ERR346600.97	34
ERR346600.85	31
ERR346600.84	27
ERR346600.87	32
ERR346600.69	28
ERR346600.93	32
ERR346600.89	33
ERR346600.95	27
ERR346600.104	36
ERR346600.98	32
ERR346600.105	28
ERR346600.96	23
ERR346600.90	28
ERR346600.112	31
ERR346600.100	25
ERR346600.99	30
ERR346600.113	26
ERR346600.106	30
ERR346600.109	32
ERR346600.107	27
ERR346600.103	25
ERR346600.110	34
ERR346600.101	31
ERR346600.116	29
ERR346600.115	26
ERR346600.108	32
ERR346600.121	29
ERR346600.114	31
ERR346600.122	33
ERR346600.119	33
ERR346600.120	30
ERR346600.127	30
ERR346600.118	36
ERR346600.124	27
ERR346600.126	30
ERR346600.125	32
ERR346600.111	34
ERR346600.128	33
ERR346600.117	29
ERR346600.134	30
ERR346600.138	26
ERR346600.133	35
ERR346600.137	26
ERR346600.143	27
ERR346600.132	26
ERR346600.141	30
ERR346600.136	32
ERR346600.146	27
ERR346600.144	31
ERR346600.149	30
ERR346600.147	29
ERR346600.142	32
ERR346600.139	27
ERR346600.131	26
ERR346600.160	37
ERR346600.150	37
ERR346600.155	36
ERR346600.148	27
ERR346600.153	37
ERR346600.154	32
ERR346600.140	28
ERR346600.151	32
ERR346600.156	30
ERR346600.158	28
ERR346600.164	23
ERR346600.157	33
ERR346600.130	27
ERR346600.167	28
ERR346600.159	30
ERR346600.168	34
ERR346600.162	34
ERR346600.165	29
ERR346600.169	27
ERR346600.152	22
ERR346600.173	28
ERR346600.174	29
ERR346600.175	33
ERR346600.166	30
ERR346600.171	32
ERR346600.172	31
ERR346600.178	35
ERR346600.176	36
ERR346600.170	32
ERR346600.177	36
ERR346600.182	24
ERR346600.183	25
ERR346600.161	24
ERR346600.184	35
ERR346600.180	29
ERR346600.163	28
ERR346600.181	33
ERR346600.186	36
ERR346600.179	29
ERR346600.185	31
ERR346600.194	32
ERR346600.196	33
ERR346600.187	37
ERR346600.198	32
ERR346600.189	31
ERR346600.193	31
