ID	PRIMER	ERROR
ERR346600.3	VH-FW16	0.6363636363636364
ERR346600.9	VH-FW9	0.65
ERR346600.1	VH-FW9	0.7
ERR346600.6	VH-FW9	0.7
ERR346600.14	VH-FW9	0.65
ERR346600.10	VH-FW9	0.65
ERR346600.13	VH-FW16	0.6363636363636364
ERR346600.8	VH-FW9	0.65
ERR346600.2	VH-FW16	0.6818181818181819
ERR346600.12	VH-FW9	0.7
ERR346600.5	VH-FW9	0.7
ERR346600.18	VH-FW16	0.6363636363636364
ERR346600.16	VH-FW9	0.65
ERR346600.19	VH-FW9	0.7
ERR346600.17	VH-FW16	0.6363636363636364
ERR346600.25	VH-FW16	0.6363636363636364
ERR346600.20	VH-FW16	0.5909090909090908
ERR346600.29	VH-FW9	0.65
ERR346600.35	VH-FW16	0.6363636363636364
ERR346600.46	VH-FW16	0.6363636363636364
ERR346600.38	VH-FW9	0.65
ERR346600.34	VH-FW9	0.65
ERR346600.37	VH-FW3	0.6
ERR346600.27	VH-FW17	0.65
ERR346600.32	VH-FW9	0.7
ERR346600.30	VH-FW9	0.65
ERR346600.33	VH-FW16	0.5909090909090908
ERR346600.28	VH-FW9	0.7
ERR346600.24	VH-FW16	0.6363636363636364
ERR346600.26	VH-FW16	0.6818181818181819
ERR346600.51	VH-FW9	0.7
ERR346600.36	VH-FW16	0.6818181818181819
ERR346600.42	VH-FW17	0.6
ERR346600.44	VH-FW9	0.7
ERR346600.39	VH-FW9	0.7
ERR346600.7	VH-FW16	0.5909090909090908
ERR346600.49	VH-FW16	0.6363636363636364
ERR346600.21	VH-FW9	0.7
ERR346600.47	VH-FW16	0.6363636363636364
ERR346600.56	VH-FW9	0.7
ERR346600.43	VH-FW16	0.6818181818181819
ERR346600.45	VH-FW9	0.65
ERR346600.58	VH-FW16	0.6363636363636364
ERR346600.53	VH-FW17	0.6
ERR346600.54	VH-FW16	0.5909090909090908
ERR346600.50	VH-FW9	0.7
ERR346600.71	VH-FW16	0.5909090909090908
ERR346600.62	VH-FW9	0.65
ERR346600.52	VH-FW16	0.5909090909090908
ERR346600.48	VH-FW16	0.6818181818181819
ERR346600.61	VH-FW9	0.65
ERR346600.57	VH-FW16	0.6363636363636364
ERR346600.66	VH-FW16	0.6363636363636364
ERR346600.59	VH-FW9	0.7
ERR346600.69	VH-FW16	0.6818181818181819
ERR346600.75	VH-FW17	0.65
ERR346600.72	VH-FW16	0.6363636363636364
ERR346600.67	VH-FW16	0.6818181818181819
ERR346600.78	VH-FW16	0.6363636363636364
ERR346600.79	VH-FW17	0.6
ERR346600.81	VH-FW9	0.65
ERR346600.73	VH-FW9	0.65
ERR346600.65	VH-FW17	0.65
ERR346600.83	VH-FW16	0.6363636363636364
ERR346600.68	VH-FW9	0.7
ERR346600.88	VH-FW9	0.65
ERR346600.80	VH-FW16	0.6363636363636364
ERR346600.93	VH-FW17	0.65
ERR346600.94	VH-FW16	0.5909090909090908
ERR346600.76	VH-FW16	0.6818181818181819
ERR346600.86	VH-FW17	0.65
ERR346600.100	VH-FW9	0.7
ERR346600.89	VH-FW9	0.65
ERR346600.95	VH-FW16	0.6363636363636364
ERR346600.84	VH-FW9	0.7
ERR346600.85	VH-FW9	0.65
ERR346600.82	VH-FW9	0.65
ERR346600.97	VH-FW16	0.6818181818181819
ERR346600.90	VH-FW17	0.65
ERR346600.87	VH-FW16	0.6363636363636364
ERR346600.99	VH-FW17	0.65
ERR346600.91	VH-FW17	0.6
ERR346600.105	VH-FW16	0.6363636363636364
ERR346600.98	VH-FW17	0.6
ERR346600.104	VH-FW16	0.6363636363636364
ERR346600.96	VH-FW19	0.6
ERR346600.116	VH-FW16	0.6363636363636364
ERR346600.101	VH-FW17	0.65
ERR346600.113	VH-FW16	0.5909090909090908
ERR346600.103	VH-FW16	0.6363636363636364
ERR346600.107	VH-FW17	0.6
ERR346600.109	VH-FW16	0.5909090909090908
ERR346600.106	VH-FW16	0.5909090909090908
ERR346600.122	VH-FW16	0.5909090909090908
ERR346600.110	VH-FW16	0.6363636363636364
ERR346600.112	VH-FW9	0.7
ERR346600.108	VH-FW9	0.65
ERR346600.114	VH-FW16	0.6818181818181819
ERR346600.117	VH-FW17	0.65
ERR346600.121	VH-FW9	0.7
ERR346600.120	VH-FW16	0.6363636363636364
ERR346600.119	VH-FW16	0.6363636363636364
ERR346600.126	VH-FW16	0.6363636363636364
ERR346600.124	VH-FW17	0.6
ERR346600.143	VH-FW16	0.6363636363636364
ERR346600.118	VH-FW9	0.7
ERR346600.111	VH-FW16	0.6363636363636364
ERR346600.131	VH-FW16	0.6363636363636364
ERR346600.137	VH-FW9	0.7
ERR346600.128	VH-FW16	0.6363636363636364
ERR346600.125	VH-FW16	0.6818181818181819
ERR346600.138	VH-FW16	0.6818181818181819
ERR346600.132	VH-FW16	0.6818181818181819
