ID	PRIMER	ERROR
ERR346600.317|VPRIMER=VH-FW9	IGHG	0.7
ERR346600.300|VPRIMER=VH-FW16	IGHG	0.65
ERR346600.322|VPRIMER=VH-FW9	IGHG	0.65
ERR346600.661|VPRIMER=VH-FW15	IGHG	0.6
ERR346600.863|VPRIMER=VH-FW13	IGHG	0.65
ERR346600.1141|VPRIMER=VH-FW13	IGHG	0.65
ERR346600.1507|VPRIMER=VH-FW9	IGHG	0.6
ERR346600.1164|VPRIMER=VH-FW16	IGHG	0.65
ERR346600.1906|VPRIMER=VH-FW15	IGHG	0.65
ERR346600.1698|VPRIMER=VH-FW15	IGHG	0.7
ERR346600.2027|VPRIMER=VH-FW9	IGHG	0.6
ERR346600.2306|VPRIMER=VH-FW15	IGHG	0.7
ERR346600.2044|VPRIMER=VH-FW13	IGHG	0.65
ERR346600.2477|VPRIMER=VH-FW9	IGHG	0.6
ERR346600.2784|VPRIMER=VH-FW10	IGHG	0.65
ERR346600.1341|VPRIMER=VH-FW13	IGHG	0.7
ERR346600.2566|VPRIMER=VH-FW15	IGHG	0.6
ERR346600.2829|VPRIMER=VH-FW16	IGHG	0.7
ERR346600.2707|VPRIMER=VH-FW16	IGHG	0.65
ERR346600.3053|VPRIMER=VH-FW15	IGHG	0.65
ERR346600.2922|VPRIMER=VH-FW15	IGHG	0.7
ERR346600.2960|VPRIMER=VH-FW13	IGHG	0.6
ERR346600.3096|VPRIMER=VH-FW10	IGHG	0.6
ERR346600.2680|VPRIMER=VH-FW9	IGHG	0.65
ERR346600.3325|VPRIMER=VH-FW16	IGHG	0.7
ERR346600.3189|VPRIMER=VH-FW12	IGHG	0.6
ERR346600.3596|VPRIMER=VH-FW15	IGHG	0.6
ERR346600.3495|VPRIMER=VH-FW13	IGHG	0.7
ERR346600.3779|VPRIMER=VH-FW15	IGHG	0.6
ERR346600.3277|VPRIMER=VH-FW15	IGHG	0.6
ERR346600.3124|VPRIMER=VH-FW15	IGHG	0.7
